file_name,happiness,anger,joy,sadness,fear,surprise,nostalgia,longing,hope,contempt,awe,melancholy
poem1.txt,2,0,7,6,5,3,0,1,8,0,6,5
poem2.txt,0,10,0,0,0,0,0,0,0,10,0,0
poem3.txt,2,0,6,7,6,5,0,1,7,0,4,4
poem4.txt,0,1,1,8,4,0,0,10,1,0,2,9
poem5.txt,1,0,8,8,0,0,5,5,0,0,7,7
poem6.txt,0,2,0,9,9,0,0,8,0,0,0,9
poem7.txt,8,0,9,2,8,1,0,1,1,0,7,3
poem8.txt,0,2,0,4,5,0,7,6,1,5,2,5
poem9.txt,0,0,2,10,3,0,6,9,0,0,0,10
poem10.txt,0,8,0,0,0,0,0,2,0,9,0,0
poem11.txt,5,0,4,1,3,2,0,0,7,0,8,2
poem12.txt,0,0,0,9,6,0,3,7,1,0,0,10
poem13.txt,0,8,0,0,6,1,0,0,0,7,5,0
poem14.txt,0,0,0,2,4,5,0,0,0,1,7,3
poem15.txt,0,4,0,0,0,0,0,0,0,10,0,0
poem16.txt,0,2,0,8,1,0,3,0,0,4,0,9
poem17.txt,0,1,0,10,2,0,6,5,0,0,0,10
poem18.txt,0,0,0,7,0,0,5,6,1,0,0,8
poem19.txt,0,0,0,8,0,0,0,4,5,0,0,7
poem20.txt,5,0,6,4,2,1,5,8,5,0,7,7
poem21.txt,2,0,3,8,1,0,2,6,4,0,5,9
poem22.txt,0,0,1,9,2,1,6,7,1,0,4,8
poem23.txt,2,0,5,6,1,3,4,6,5,0,7,6
poem24.txt,1,3,0,9,1,0,2,5,1,4,3,8
poem25.txt,1,0,1,8,3,0,4,7,3,0,3,9
poem26.txt,1,3,0,9,2,0,5,8,2,1,2,8
poem27.txt,2,7,1,4,3,2,0,3,2,8,4,5
poem28.txt,1,0,7,6,1,8,3,2,4,0,9,7
poem29.txt,1,0,6,3,1,5,2,3,7,0,8,4
poem30.txt,2,0,5,3,2,1,4,8,7,0,6,5
poem31.txt,0,4,1,8,3,2,0,7,2,6,5,7
poem32.txt,1,0,2,9,3,1,4,6,2,0,3,8
poem33.txt,1,1,0,8,5,0,2,6,1,2,1,9
poem34.txt,1,2,1,8,4,1,1,8,1,2,6,9
poem35.txt,0,1,0,9,4,1,3,6,1,7,6,9
poem36.txt,3,0,4,2,1,1,1,3,2,0,3,4
poem37.txt,1,0,2,7,3,5,2,8,4,0,9,8
poem38.txt,0,8,0,9,3,2,7,5,1,8,2,9
poem39.txt,0,8,0,9,3,0,2,6,1,7,2,9
poem40.txt,0,3,0,8,6,1,4,5,2,5,4,7
poem41.txt,0,0,0,8,3,0,2,8,1,0,5,9
poem42.txt,2,0,3,7,1,2,9,8,4,0,6,8
poem43.txt,3,1,4,6,1,1,2,1,6,0,3,5
poem44.txt,1,5,1,9,6,2,4,7,2,4,5,8
poem45.txt,2,0,3,7,1,2,4,5,3,0,6,8
poem46.txt,0,3,0,9,5,1,5,8,2,7,6,9
poem47.txt,1,0,2,8,3,0,3,6,1,0,5,8
poem48.txt,3,1,4,7,1,0,2,8,5,0,3,6
poem49.txt,4,0,4,2,1,1,4,3,6,0,4,3
poem50.txt,2,0,4,8,3,2,5,6,3,0,7,8
poem51.txt,1,3,1,9,4,2,4,5,2,7,3,9
poem52.txt,0,1,0,9,7,0,4,9,2,0,4,10
poem53.txt,0,3,0,7,2,1,1,8,1,5,3,8
poem54.txt,0,2,0,8,3,0,4,7,1,1,2,9
